timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:13:49.644976,text_search,Clementi,Clementi Woods,education,library,"library in Clementi Woods, Clementi, Singapore",OK,,3,
2026-07-16T13:13:50.358263,text_search,Clementi,Clementi Woods,transport,MRT station,"MRT station in Clementi Woods, Clementi, Singapore",OK,,7,
2026-07-16T13:13:51.322061,text_search,Clementi,Clementi Woods,transport,bus stop,"bus stop in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:51.933211,text_search,Clementi,Clementi Woods,transport,bus interchange,"bus interchange in Clementi Woods, Clementi, Singapore",OK,,6,
2026-07-16T13:13:52.788507,text_search,Clementi,Clementi Woods,transport,LRT station,"LRT station in Clementi Woods, Clementi, Singapore",OK,,18,
2026-07-16T13:13:53.386027,text_search,Clementi,Clementi Woods,food,hawker centre,"hawker centre in Clementi Woods, Clementi, Singapore",OK,,8,
2026-07-16T13:13:54.160987,text_search,Clementi,Clementi Woods,food,food court,"food court in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:54.867598,text_search,Clementi,Clementi Woods,food,coffee shop,"coffee shop in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:55.931077,text_search,Clementi,Clementi Woods,food,restaurant,"restaurant in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:56.893659,text_search,Clementi,Clementi Woods,food,cafe,"cafe in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:57.464578,text_search,Clementi,Clementi Woods,shopping,shopping mall,"shopping mall in Clementi Woods, Clementi, Singapore",OK,,7,
2026-07-16T13:13:58.225976,text_search,Clementi,Clementi Woods,shopping,supermarket,"supermarket in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:59.017471,text_search,Clementi,Clementi Woods,shopping,grocery store,"grocery store in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:13:59.669668,text_search,Clementi,Clementi Woods,shopping,convenience store,"convenience store in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:14:00.418836,text_search,Clementi,Clementi Woods,shopping,wet market,"wet market in Clementi Woods, Clementi, Singapore",OK,,5,
2026-07-16T13:14:01.350326,text_search,Clementi,Clementi Woods,recreation,gym,"gym in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:14:02.248941,text_search,Clementi,Clementi Woods,recreation,sports centre,"sports centre in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:14:03.013051,text_search,Clementi,Clementi Woods,recreation,swimming complex,"swimming complex in Clementi Woods, Clementi, Singapore",OK,,2,
2026-07-16T13:14:03.854845,text_search,Clementi,Clementi Woods,recreation,cinema,"cinema in Clementi Woods, Clementi, Singapore",OK,,3,
2026-07-16T13:14:04.842046,text_search,Clementi,Clementi Woods,recreation,community club,"community club in Clementi Woods, Clementi, Singapore",OK,,3,
2026-07-16T13:14:06.511074,text_search,Clementi,Clementi Woods,recreation,playground,"playground in Clementi Woods, Clementi, Singapore",OK,,1,
2026-07-16T13:14:07.496382,text_search,Clementi,Clementi Woods,nature,park,"park in Clementi Woods, Clementi, Singapore",OK,,1,
2026-07-16T13:14:08.203160,text_search,Clementi,Clementi Woods,nature,nature reserve,"nature reserve in Clementi Woods, Clementi, Singapore",OK,,5,
2026-07-16T13:14:09.653411,text_search,Clementi,Clementi Woods,nature,garden,"garden in Clementi Woods, Clementi, Singapore",OK,,8,
2026-07-16T13:14:10.502624,text_search,Clementi,Clementi Woods,nature,beach,"beach in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:14:11.579126,text_search,Clementi,Clementi Woods,nature,waterfront,"waterfront in Clementi Woods, Clementi, Singapore",OK,,20,
2026-07-16T13:14:12.517584,text_search,Clementi,Clementi Woods,nature,park connector,"park connector in Clementi Woods, Clementi, Singapore",OK,,5,
2026-07-16T13:14:13.190134,text_search,Clementi,Faber,education,kindergarten,"kindergarten in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:13.941284,text_search,Clementi,Faber,education,childcare centre,"childcare centre in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:14.778384,text_search,Clementi,Faber,education,primary school,"primary school in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:15.570676,text_search,Clementi,Faber,education,secondary school,"secondary school in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:16.367412,text_search,Clementi,Faber,education,junior college,"junior college in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:17.207370,text_search,Clementi,Faber,education,polytechnic,"polytechnic in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:17.797388,text_search,Clementi,Faber,education,university,"university in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:18.512231,text_search,Clementi,Faber,education,tuition centre,"tuition centre in Faber, Clementi, Singapore",OK,,20,
2026-07-16T13:14:19.338692,text_search,Clementi,Faber,education,library,"library in Faber, Clementi, Singapore",OK,,8,
2026-07-16T13:14:20.353415,text_search,Clementi,Faber,transport,MRT station,"MRT station in Faber, Clementi, Singapore",OK,,18,
2026-07-16T13:14:21.206073,text_search,Clementi,Faber,transport,bus stop,"bus stop in Faber, Clementi, Singapore",OK,,20,
